iter	Passed	Remaining
289	923	669
290	926	665
291	929	662
292	932	658
293	934	654
294	937	651
295	940	648
296	942	644
297	946	641
298	948	637
299	950	633
300	953	630
301	956	626
302	958	623
303	961	619
304	963	616
305	966	612
306	968	609
307	971	605
308	973	602
309	976	598
310	979	595
311	982	591
312	985	588
313	988	585
314	991	582
315	993	578
316	996	575
317	999	571
318	1001	568
319	1004	565
320	1007	561
321	1009	558
322	1012	554
323	1014	551
324	1017	547
325	1020	544
326	1022	541
327	1025	537
328	1027	534
329	1030	531
330	1033	527
331	1036	524
332	1039	521
333	1042	517
334	1046	515
335	1048	511
336	1051	508
337	1054	505
338	1057	502
339	1060	499
340	1063	496
341	1066	492
342	1069	489
343	1071	486
344	1074	482
345	1077	479
346	1080	476
347	1082	472
348	1085	469
349	1088	466
350	1091	463
351	1094	460
352	1097	457
353	1100	453
354	1102	450
355	1105	447
356	1108	443
357	1110	440
358	1113	437
359	1116	434
360	1119	430
361	1121	427
362	1123	424
363	1126	420
364	1129	417
365	1132	414
366	1135	411
367	1138	408
368	1140	405
369	1143	401
370	1146	398
371	1148	395
372	1151	391
373	1154	388
374	1157	385
375	1161	382
376	1164	379
377	1166	376
378	1169	373
379	1172	370
380	1175	367
381	1178	363
382	1180	360
383	1182	357
384	1185	354
385	1188	350
386	1191	347
387	1194	344
388	1196	341
389	1199	338
390	1202	335
391	1205	332
392	1207	328
393	1210	325
394	1212	322
395	1216	319
396	1219	316
397	1221	313
398	1224	309
399	1226	306
400	1229	303
401	1231	300
402	1234	297
403	1237	293
404	1239	290
405	1242	287
406	1244	284
407	1246	281
408	1249	278
409	1253	275
410	1256	272
411	1258	268
412	1260	265
413	1262	262
414	1265	259
415	1267	256
416	1270	252
417	1272	249
418	1275	246
419	1278	243
420	1281	240
421	1283	237
422	1286	234
423	1288	230
424	1290	227
425	1293	224
426	1295	221
427	1299	218
428	1301	215
429	1303	212
430	1306	209
431	1308	205
432	1310	202
433	1313	199
434	1315	196
435	1318	193
436	1321	190
437	1324	187
438	1327	184
439	1330	181
440	1333	178
441	1335	175
442	1337	172
443	1340	169
444	1342	165
445	1345	162
446	1348	159
447	1351	156
448	1353	153
449	1356	150
450	1359	147
451	1362	144
452	1365	141
453	1367	138
454	1370	135
455	1373	132
456	1376	129
457	1378	126
458	1381	123
459	1383	120
460	1386	117
461	1388	114
462	1391	111
463	1393	108
464	1396	105
465	1399	102
466	1402	99
467	1405	96
468	1408	93
469	1411	90
470	1413	87
